Auto number ID,Service Type,AAR Type,Road number,Reporting Mark,Status,Construction material,Date Purchased,Length-whole numbers,Coupler,Truck,Color,Cost,Value,Current condition,Scale,Collectable (1or 0),Weathered (1or 0),DCC (1or 0),Sound (1or 0),Current Location,Engine Type,Available (1or 0),Wheels and axles,Capacity,Loco Wheel Arrangement,Door Width,Out of Production,Weight Standards,Originial or Refinished,Is Delete,Variation,Tons or Gallons,Print Car Card,Return To,Build Date,Rebuild Date,Retailers Name,System Class,Date retired or scraped,Date removed/sold from collection,DCCREADY,OWNER,Do Maintenance Check,Capacity,ORIGINALBOX,Picture file name 2,Picture file name 3,Picture file name 4,Logo file name
61,Locomotive  ,GP 50               ,000            ,NONE        ,Unassembled    ,PLASTIC KIT         ,7/04/2016 ,0, , , ,0,0, ,HO    ,0,0,0,0, ,Diesel    ,0, ,0, ,0,0,0, ,0, , ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
92,Freight     ,HT                  ,38876          ,NW          , ,Plastic Kit         ,12/02/2017,45, , ,Black          ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
25,Freight     ,LOA                 ,14345          ,PTLX        , ,Plastic RTR         ,5/31/2015 ,55, , ,White          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\MFA.JPG                                                                                                                                                                                                                                                  ,Photos\MFA2.JPG                                                                                                                                                                                                                                                 , , 
40,Freight     ,LOA                 ,512032         ,RI          , ,Plastic RTR         ,7/04/2016 ,35, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\RI 512011 - Prototype.jpg                                                                                                                                                                                                                                , , , 
119,Freight     ,FM                  ,100008         ,SLSF        , ,Plastic RTR         ,11/24/2018,42, , ,Yellow         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Red Caboose                   , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
115,Freight     ,FC                  ,100014         ,SLSF        , ,Plastic RTR         ,11/24/2018,42, , ,Yellow         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
73,Freight     ,NM                  ,1147           ,SLSF        , ,Plastic RTR         ,2/17/2017 ,35, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
10,Freight     ,NM                  ,1244           ,SLSF        , ,Plastic Kit         ,5/31/2015 ,35, , ,Red            ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,C:\RCLTRAIN\Photos\SLSF 1244 - Lindenwood Yard.jpg                                                                                                                                                                                                              ,C:\RCLTRAIN\Photos\FR584.jpg                                                                                                                                                                                                                                    ,C:\RCLTRAIN\Photos\FR814.jpg                                                                                                                                                                                                                                    , 
72,Freight     ,NM                  ,1260           ,SLSF        , ,Plastic Kit         ,2/17/2017 ,35, , ,Orange/White   ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
122,Freight     ,NM                  ,1291           ,SLSF        , ,Plastic RTR         ,11/24/2018,38, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Atlas                         , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
95,Freight     ,NM                  ,1311           ,SLSF        , ,Plastic RTR         ,12/02/2017,38, , ,Red            ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Bluford Shops                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,C:\RCLTRAIN\Photos\SLSF 1244 - Lindenwood Yard.jpg                                                                                                                                                                                                              ,C:\RCLTRAIN\Photos\FR584.jpg                                                                                                                                                                                                                                    ,C:\RCLTRAIN\Photos\FR814.jpg                                                                                                                                                                                                                                    , 
77,Locomotive  ,F9B                 ,145            ,SLSF        , ,PLASTIC RTR         ,6/10/2017 ,0, , ,Orange and Whit,0,0, ,HO    ,0,0,1,1, ,Diesel    ,0, ,0, ,0,0,0, ,0, , ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
128,Freight     ,LU                  ,153197         ,SLSF        ,Unassembled    ,Plastic Kit         ,3/19/2019 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
31,Freight     ,LU                  ,153208         ,SLSF        ,Unassembled    ,Plastic Kit         ,7/04/2016 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
18,Freight     ,LU                  ,15568          ,SLSF        , ,Plastic Kit         ,5/31/2015 ,50, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Roundhouse                    , ,/  /      ,/  /      ,0, ,0,0,0, , , , 
13,Freight     ,LU                  ,16302          ,SLSF        , ,Plastic Kit         ,5/31/2015 ,40, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Roundhouse                    , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
124,Freight     ,LU                  ,17158          ,SLSF        , ,Plastic RTR         ,11/24/2018,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\SLSF 27019.jpg                                                                                                                                                                                                                                           , , , 
11,Freight     ,LU                  ,17774          ,SLSF        , ,Metal Kit           ,5/31/2015 ,40, , ,Tuscan         ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Varney                        , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,C:\RCLTRAIN\Photos\SLSF 17774 - Red Matchbook Box.jpg                                                                                                                                                                                                           , , , 
